accession	superkingdom	phylum	class	order	family	genus	species
SKFG01000035.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus albiflavus
AE017285.1		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Nitratidesulfovibrio	Nitratidesulfovibrio vulgaris
JAGHZW010000111.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	Pseudoxanthomonas sp.
QSCK01000007.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp. OF03-24
VSEY01000074.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea sp. PA05
CP003382.1		Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus peraridilitoris
FOAZ01000015.1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	Streptacidiphilus jiangxiensis
FOTY01000014.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salibacterium	Salibacterium qingdaonense
HF991175.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus sp. CAG:782
JACJVR010000032.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Cohnella	Cohnella xylanilytica
